,Unnamed: 0,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,PN,set
70,70,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p2,-3328.382425947266,157.86336949783322,-155.72683225860598,0.0,349.1968880847168,491.2555565332031,24,PN09,ULS - Set C - Variable Actions (Env.)
71,71,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p2,-3341.7879742871096,157.86336949783322,-155.72683225860598,0.0,271.3334990454102,412.323883359375,24,PN09,ULS - Set C - Variable Actions (Env.)
72,72,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p3,-3501.8729983740227,58.501980729599005,-83.20740898605348,0.0,220.53986930908204,245.9094564257812,24,PN09,ULS - Set C - Variable Actions (Env.)
73,73,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p3,-3515.2785467138665,58.501980729599005,-83.20740898605348,0.0,178.93618180297844,216.6584721508789,24,PN09,ULS - Set C - Variable Actions (Env.)
74,74,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p4,-2782.818819194336,50.83277264152526,-85.01273963241577,0.0,200.58692340820303,194.3365819335937,24,PN09,ULS - Set C - Variable Actions (Env.)
75,75,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p4,-2796.22436753418,50.83277264152526,-85.01273963241577,0.0,158.08056866333004,168.9201999560547,24,PN09,ULS - Set C - Variable Actions (Env.)
76,76,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p5,-2360.204679931641,32.955665354461665,-119.64761548858642,0.0,225.0009762438964,145.17506615234373,24,PN09,ULS - Set C - Variable Actions (Env.)
77,77,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p5,-2373.6102282714846,32.955665354461665,-119.64761548858642,0.0,165.17719715576172,128.69723496582037,24,PN09,ULS - Set C - Variable Actions (Env.)
78,78,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p6,-2009.3452093847652,29.0380368144226,-120.08118504608154,0.0,220.36472414428707,118.9106413671874,24,PN09,ULS - Set C - Variable Actions (Env.)
79,79,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p6,-2022.7507577246088,29.0380368144226,-120.08118504608154,0.0,160.32415748779297,104.3916249609375,24,PN09,ULS - Set C - Variable Actions (Env.)
80,80,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,-3924.73399506836,108.59726278381343,-85.48919766960145,0.0,193.7382849609376,350.34550162353514,21,PN07,SLS - Variable Actions (Env.)
81,81,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,-3938.139543896485,108.59726278381343,-85.48919766960145,0.0,150.9936900878906,296.0468724121094,21,PN07,SLS - Variable Actions (Env.)
82,82,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p2,-3336.825460510254,105.52002393798828,-85.96896253700258,0.0,184.94117768554693,328.56678062744135,21,PN07,SLS - Variable Actions (Env.)
83,83,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p2,-3350.231009338379,105.52002393798828,-85.96896253700258,0.0,141.95670043945313,275.8067696044923,21,PN07,SLS - Variable Actions (Env.)
84,84,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p3,-4285.470872827149,37.79002684631349,-56.52811086769105,0.0,180.8668509277344,163.06136505126952,21,PN07,SLS - Variable Actions (Env.)
85,85,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p3,-4298.8764216552745,37.79002684631349,-56.52811086769105,0.0,152.60280063476566,144.1663473144531,21,PN07,SLS - Variable Actions (Env.)
86,86,109,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p4,-3431.9873396484377,33.40877229309082,-56.89705484962463,0.0,159.03662050781247,131.9964760131836,21,PN07,SLS - Variable Actions (Env.)
