,Unnamed: 0,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,PN,set
66,66,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p6,-1371.5260262841791,26.758751916961664,-144.75455787651063,0.0,233.9735830220032,94.05543902832032,23,PN09,ULS - Set A/B - Variable Actions (Env.)
67,67,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p6,-1384.261297207031,26.758751916961664,-144.75455787651063,0.0,161.5963284970093,80.6760661523438,23,PN09,ULS - Set A/B - Variable Actions (Env.)
68,68,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,-3686.320348759765,163.64452748519895,-154.69008358551028,0.0,362.3000564007568,529.611611796875,24,PN09,ULS - Set C - Variable Actions (Env.)
69,69,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,-3699.7258970996086,163.64452748519895,-154.69008358551028,0.0,284.95505229858395,447.7893628857422,24,PN09,ULS - Set C - Variable Actions (Env.)
70,70,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,-3133.125113447266,157.66151692825315,-155.86718623199465,0.0,349.3449170306396,489.4128902734374,24,PN09,ULS - Set C - Variable Actions (Env.)
71,71,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,-3146.5306617871097,157.66151692825315,-155.86718623199465,0.0,271.41135100463873,410.5821436132812,24,PN09,ULS - Set C - Variable Actions (Env.)
72,72,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p3,-3306.615685874023,58.30012816001893,-83.34776295944215,0.0,220.6878982550049,244.0667901660156,24,PN09,ULS - Set C - Variable Actions (Env.)
73,73,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p3,-3320.021234213866,58.30012816001893,-83.34776295944215,0.0,179.01403376220696,214.9167324047852,24,PN09,ULS - Set C - Variable Actions (Env.)
74,74,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p4,-2587.561506694336,50.630920071945184,-85.15309360580444,0.0,200.7349523541259,192.4939156738281,24,PN09,ULS - Set C - Variable Actions (Env.)
75,75,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p4,-2600.96705503418,50.630920071945184,-85.15309360580444,0.0,158.15842062255857,167.17846020996095,24,PN09,ULS - Set C - Variable Actions (Env.)
76,76,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p5,-2164.9473674316405,32.75381278488159,-119.7879694619751,0.0,225.1490051898193,143.3323998925781,24,PN09,ULS - Set C - Variable Actions (Env.)
77,77,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p5,-2178.3529157714843,32.75381278488159,-119.7879694619751,0.0,165.2550491149902,126.9554952197266,24,PN09,ULS - Set C - Variable Actions (Env.)
78,78,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p6,-1814.087896884765,28.836184244842524,-120.22153901947024,0.0,220.5127530902099,117.0679751074218,24,PN09,ULS - Set C - Variable Actions (Env.)
79,79,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p6,-1827.4934452246089,28.836184244842524,-120.22153901947024,0.0,160.40200944702147,102.64988521484376,24,PN09,ULS - Set C - Variable Actions (Env.)
80,80,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p1,-3715.37024506836,108.47661620788573,-85.46806005058289,0.0,192.84969414062508,348.9810184692383,21,PN07,SLS - Variable Actions (Env.)
81,81,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p1,-3728.775793896485,108.47661620788573,-85.46806005058289,0.0,150.11566799316404,294.74271250000004,21,PN07,SLS - Variable Actions (Env.)
82,82,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,-3127.461710510254,105.39937736206052,-85.94782491798402,0.0,184.0525868652344,327.2022974731445,21,PN07,SLS - Variable Actions (Env.)
83,83,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,-3140.867259338379,105.39937736206052,-85.94782491798402,0.0,141.07867834472657,274.5026096923829,21,PN07,SLS - Variable Actions (Env.)
84,84,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p3,-4076.107122827149,37.66938027038575,-56.50697324867249,0.0,179.9782601074219,161.69688189697263,21,PN07,SLS - Variable Actions (Env.)
85,85,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p3,-4089.512671655274,37.66938027038575,-56.50697324867249,0.0,151.7247785400391,142.86218740234372,21,PN07,SLS - Variable Actions (Env.)
86,86,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p4,-3222.6235896484377,33.28812571716308,-56.87591723060607,0.0,158.1480296875,130.63199285888672,21,PN07,SLS - Variable Actions (Env.)
87,87,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p4,-3236.029138476563,33.28812571716308,-56.87591723060607,0.0,129.7100746337891,113.98792341308592,21,PN07,SLS - Variable Actions (Env.)
88,88,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p5,-2979.2333278564447,19.64906184387208,-81.68718059043884,0.0,153.7334898437499,95.24783033447262,21,PN07,SLS - Variable Actions (Env.)
89,89,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p5,-2992.63887668457,19.64906184387208,-81.68718059043884,0.0,112.8899096923828,85.4232926269531,21,PN07,SLS - Variable Actions (Env.)
90,90,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p6,-2588.64628828125,17.5445329864502,-82.2414426525116,0.0,154.30552729492186,80.40333902587888,21,PN07,SLS - Variable Actions (Env.)
91,91,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p6,-2602.051837109375,17.5445329864502,-82.2414426525116,0.0,113.18480432128906,71.63106423339845,21,PN07,SLS - Variable Actions (Env.)
92,92,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p1,-3397.0243349609377,-0.1370103759765625,-34.47731878089905,0.0,142.02739111328123,54.24546734619141,22,PN07,SLS - Quasi-permanent (Env.)
93,93,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p1,-3410.4298837890624,-0.1370103759765625,-34.47731878089905,0.0,124.78872802734377,54.31396453857422,22,PN07,SLS - Quasi-permanent (Env.)
94,94,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p2,-3481.891244140625,0.1599261474609375,-35.266738893508915,0.0,167.3139411621094,56.91677911376953,22,PN07,SLS - Quasi-permanent (Env.)
95,95,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p2,-3495.29679296875,0.1599261474609375,-35.266738893508915,0.0,149.68057690429688,56.83680755615234,22,PN07,SLS - Quasi-permanent (Env.)
96,96,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p1,-4647.481436982424,179.21136450347905,-138.46097658258438,0.0,259.85983660644536,549.6788860717775,23,PN07,ULS - Set A/B - Variable Actions (Env.)
97,97,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p1,-4665.578927900392,179.21136450347905,-138.46097658258438,0.0,190.6293551208496,460.0732080395508,23,PN07,ULS - Set A/B - Variable Actions (Env.)
98,98,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,-2239.873098251953,168.7921682072449,-138.2257381685829,0.0,175.91264028076176,474.29915697937,23,PN07,ULS - Set A/B - Variable Actions (Env.)
99,99,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,-2252.608369638673,168.7921682072449,-138.2257381685829,0.0,106.79977609741208,389.9030786267089,23,PN07,ULS - Set A/B - Variable Actions (Env.)
100,100,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p3,-5096.209908928224,57.11385904296875,-88.75304244855882,0.0,233.17531615966803,225.51564412353525,23,PN07,ULS - Set A/B - Variable Actions (Env.)
101,101,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p3,-5114.307399846191,57.11385904296875,-88.75304244855882,0.0,188.79879340209956,196.9587082006836,23,PN07,ULS - Set A/B - Variable Actions (Env.)
102,102,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p4,-2410.96297208496,45.33211330947878,-88.39711503736496,0.0,135.5256450439454,140.4321479620361,23,PN07,ULS - Set A/B - Variable Actions (Env.)
103,103,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p4,-2423.69824347168,45.33211330947878,-88.39711503736496,0.0,91.3270881774902,117.76608352905272,23,PN07,ULS - Set A/B - Variable Actions (Env.)
104,104,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p5,-3482.601045288088,30.144233764343248,-128.0126026230812,0.0,193.9367414111328,125.6565559204102,23,PN07,ULS - Set A/B - Variable Actions (Env.)
105,105,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p5,-3500.6985362060555,30.144233764343248,-128.0126026230812,0.0,129.93044193237304,110.58442822265611,23,PN07,ULS - Set A/B - Variable Actions (Env.)
106,106,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p6,-1416.4956777294915,21.406000055389413,-127.91005373636244,0.0,126.34844294677728,62.25713097839355,23,PN07,ULS - Set A/B - Variable Actions (Env.)
107,107,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p6,-1429.2309491162118,21.406000055389413,-127.91005373636244,0.0,62.393412264404176,51.55412115844727,23,PN07,ULS - Set A/B - Variable Actions (Env.)
108,108,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,-3554.708960429687,151.77852315612796,-117.06295102294922,0.0,206.391734038086,459.2600504467774,24,PN07,ULS - Set C - Variable Actions (Env.)
109,109,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,-3568.114509257812,151.77852315612796,-117.06295102294922,0.0,147.8602602832031,383.3707926977539,24,PN07,ULS - Set C - Variable Actions (Env.)
110,110,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,-2750.826834846191,147.64443112976073,-117.44152736068725,0.0,186.78614817871096,429.9527086767578,24,PN07,ULS - Set C - Variable Actions (Env.)
111,111,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,-2764.232383674316,147.64443112976073,-117.44152736068725,0.0,128.06538946289058,356.130496916504,24,PN07,ULS - Set C - Variable Actions (Env.)
112,112,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p3,-3937.465327131347,48.17050065948486,-74.87779192691804,0.0,183.79085026123045,184.20013155517577,24,PN07,ULS - Set C - Variable Actions (Env.)
113,113,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p3,-3950.870875959472,48.17050065948486,-74.87779192691804,0.0,146.3519692675781,160.11487637451174,24,PN07,ULS - Set C - Variable Actions (Env.)
114,114,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p4,-2895.6652119897467,42.868586277770994,-75.15331502628327,0.0,152.41972210205074,146.57765820922847,24,PN07,ULS - Set C - Variable Actions (Env.)
115,115,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p4,-2909.070760817872,42.868586277770994,-75.15331502628327,0.0,114.84306239257812,125.14335768798826,24,PN07,ULS - Set C - Variable Actions (Env.)
116,116,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p5,-2577.203274047852,25.467520863647465,-107.78904942779542,0.0,150.88635536621098,100.1850869750976,24,PN07,ULS - Set C - Variable Actions (Env.)
117,117,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p5,-2590.608822875977,25.467520863647465,-107.78904942779542,0.0,96.99182712890632,87.45131790771485,24,PN07,ULS - Set C - Variable Actions (Env.)
118,118,109,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p6,-2063.8705289111326,22.76302113830568,-108.28207879776,0.0,145.220936899414,81.06575024414063,24,PN07,ULS - Set C - Variable Actions (Env.)
