,,Fx,Fy,Fz,Mxx,Myy,Mzz
236,Res_1,368.1500045776367,-145.75537447810174,132.78270595979657,0.0,-122.46000897502877,-139.2000833272934
237,Res_0,368.1542450561524,-93.873203520298,84.34429248976689,0.0,-122.46001693534829,-139.20009728431702
237,Res_1,353.83938568115235,-93.873203520298,84.34429248976689,0.0,-38.115721765458545,-45.32689660739898
238,Res_0,353.83486029052733,-47.6169570479393,42.074065066695134,0.0,-38.115744145750966,-45.32688138341903
238,Res_1,339.52000091552736,-47.6169570479393,42.074065066695134,0.0,3.9583221185653947,2.290075909137731
239,Res_0,339.5217348022461,-15.782546476483343,13.388500320285544,0.0,3.958323274746492,2.290084249734884
239,Res_1,325.2068754272461,-15.782546476483343,13.388500320285544,0.0,17.34682404661173,18.072631049931054
240,Res_0,325.2087040405273,1.874332234919073,-2.2888907904755156,0.0,17.346820685565415,18.072630135476594
240,Res_1,310.89384466552735,1.874332234919073,-2.2888907904755156,0.0,15.057929884731726,16.198298197843137
241,Res_0,310.88854974365233,8.649242743045093,-8.128814487002765,0.0,15.05792665892835,16.198299929872157
241,Res_1,296.57369036865236,8.649242743045093,-8.128814487002765,0.0,6.929111928254348,7.549057202063502
243,Res_0,-1843.3457092285157,153.15961690914628,-170.6892566730976,0.0,-206.5989126548749,-293.72921482086196
243,Res_1,-1857.6605705566406,153.15961690914628,-170.6892566730976,0.0,-377.28819827270326,-446.88884042453776
244,Res_0,-1857.657557373047,87.84131929874417,-107.09716738438618,0.0,-377.288173717497,-446.8891749801637
244,Res_1,-1871.9724187011718,87.84131929874417,-107.09716738438618,0.0,-484.3853648204787,-534.7304898733796
245,Res_0,-1871.9709206542968,51.58768841171262,-71.18165401124973,0.0,-484.3855391902907,-534.7307077929081
245,Res_1,-1886.285783935547,51.58768841171262,-71.18165401124973,0.0,-555.5671958312973,-586.3184079246521
246,Res_0,-1886.2859836425782,-138.6483180060387,122.70776585817289,0.0,-555.5672214441284,-586.3183396587372
246,Res_1,-1900.6008469238282,-138.6483180060387,122.70776585817289,0.0,-432.8594493350972,-447.6700331640244
247,Res_0,-1900.5988034667969,-175.1009154388905,164.89469633817626,0.0,-432.85941421127217,-447.6700688390732
247,Res_1,-1914.913670654297,-175.1009154388905,164.89469633817626,0.0,-267.9647152261728,-272.56915588378905
248,Res_0,-1914.9164216308593,-141.7533141770363,136.542416774511,0.0,-267.96474779701174,-272.5691407651901
248,Res_1,-1929.2312810058595,-141.7533141770363,136.542416774511,0.0,-131.4223317761419,-130.81583030462266
249,Res_0,-1929.2312053222656,-90.06471108150483,88.21508067393285,0.0,-131.42232893609977,-130.81583583211898
249,Res_1,-1943.5460646972656,-90.06471108150483,88.21508067393285,0.0,-43.20725280356404,-40.75112544488907
250,Res_0,-1943.5466472167968,-44.94132695579529,44.913366968870086,0.0,-43.20725524693724,-40.751139647483825
250,Res_1,-1957.861506591797,-44.94132695579529,44.913366968870086,0.0,1.7061123614310783,4.190186157763008
251,Res_0,-1957.861903076172,-14.311806628346444,15.017082187652573,0.0,1.7061024081706564,4.190171495318417
251,Res_1,-1972.176762451172,-14.311806628346444,15.017082187652573,0.0,16.723185019373837,18.50197857515328
252,Res_0,-1972.1705454101564,2.432490353003146,-1.6194466668963272,0.0,16.723183952987135,18.501979495370765
252,Res_1,-1986.4854047851563,2.432490353003146,-1.6194466668963272,0.0,15.103737455844836,16.069488568201663
253,Res_0,-1986.4891284179687,8.673251269795003,-8.044032789975379,0.0,15.103739247262434,16.069492082431914
253,Res_1,-2000.8039877929689,8.673251269795003,-8.044032789975379,0.0,7.059706234885361,7.39624075305462
255,Res_0,-4027.0851722869875,126.42627212262157,-207.79463801802686,0.0,-111.06364438438253,-357.8130577926636
255,Res_1,-4041.4000336151125,126.42627212262157,-207.79463801802686,0.0,-318.85829445648017,-484.2393230285645
256,Res_0,-4041.4008805389403,63.71751003074649,-141.08344509816175,0.0,-318.8580994186384,-484.2389676971436
