,element_nos,Cs,xDivL,Fx,Mres
2815,153,C54,1.0,-645.969979251709,2.415992286536276
2816,154,C54,0.0,-645.9702432897948,2.415992427871217
2817,154,C54,1.0,-655.5629003210448,2.963125890940835e-07
2818,156,C54,0.0,-1845.881629992676,277.43828270957846
2819,156,C54,1.0,-1855.474287353516,138.50441041207486
2820,157,C54,0.0,-1855.4750905273443,138.50432464159144
2821,157,C54,1.0,-1865.067747558594,149.3733931618592
2822,158,C54,0.0,-1865.0719045898445,149.37327442731987
2823,158,C54,1.0,-1874.6645616210942,194.35081568219601
2824,159,C54,0.0,-1874.6583486523443,194.35065073219644
2825,159,C54,1.0,-1884.251008320313,196.40776603414963
2826,160,C54,0.0,-1884.253288085938,196.40766116750655
2827,160,C54,1.0,-1893.8459451171877,162.29200101934026
2828,161,C54,0.0,-1893.849006367188,162.2919942899521
2829,161,C54,1.0,-1903.441663398438,112.03095152746491
2830,162,C54,0.0,-1903.4371039062505,112.03094155584877
2831,162,C54,1.0,-1913.0297609375002,60.89962797415993
2832,163,C54,0.0,-1913.034042480469,60.89963436535083
2833,163,C54,1.0,-1922.6266995117192,23.57694029501488
2834,164,C54,0.0,-1922.6233520703129,23.576941359237463
2835,164,C54,1.0,-1932.2160038281256,6.876714352963335
2836,165,C54,0.0,-1932.2144377734378,6.876708941731827
2837,165,C54,1.0,-1941.807094804688,8.766621729447134
2838,166,C54,0.0,-1941.8126343945316,8.766621326940026
2839,166,C54,1.0,-1951.4052914257813,6.2427583093571135
2840,167,C54,0.0,-1951.401282324219,6.242758970165922
2841,167,C54,1.0,-1960.9939393554691,2.5006534459506913
2842,168,C54,0.0,-1960.9934983398439,2.5006528625273847
2843,168,C54,1.0,-1970.5861553710938,4.715679010794415e-07
2844,170,C54,0.0,-206.40281317077628,260.49902568571304
2845,170,C54,1.0,-215.99547053161615,123.95725146251833
2846,171,C54,0.0,-215.99440393493649,123.95719802594277
2847,171,C54,1.0,-225.58706096618644,148.36901667694195
2848,172,C54,0.0,-225.59102487243652,148.36901041973792
2849,172,C54,1.0,-235.18368190368648,197.1227000938554
2850,173,C54,0.0,-235.180278739624,197.12281508353698
2851,173,C54,1.0,-244.77293840759273,199.00026561578667
2852,174,C54,0.0,-244.7724396185302,199.0003508770662
2853,174,C54,1.0,-254.36509664978027,163.84147525708946
2854,175,C54,0.0,-254.36561417419432,163.84148503461398
2855,175,C54,1.0,-263.95827120544425,112.50437926860147
2856,176,C54,0.0,-263.95999152770986,112.50435510912462
2857,176,C54,1.0,-273.55264855895985,60.469268473079964
2858,177,C54,0.0,-273.55375577575677,60.46925831521944
2859,177,C54,1.0,-283.14641280700675,22.776206804092748
2860,178,C54,0.0,-283.1435832269287,22.776208671224772
2861,178,C54,1.0,-292.73623498474115,6.473116779446345
2862,179,C54,0.0,-292.73625456481926,6.473113326180784
2863,179,C54,1.0,-302.32891159606925,8.891503235395835
2864,180,C54,0.0,-302.3283395550537,8.891502213419546
2865,180,C54,1.0,-311.92099658630366,6.3173696605949745
2866,181,C54,0.0,-311.9244613226319,6.317370274271579
2867,181,C54,1.0,-321.5171183538818,2.517646444206484
2868,182,C54,0.0,-321.5147823919677,2.5176463490596217
2869,182,C54,1.0,-331.1074394232177,2.0083407411671565e-07
2870,184,C54,0.0,-1510.3145103198242,276.7401421687037
2871,184,C54,1.0,-1519.907167680664,129.27551001875412
2872,185,C54,0.0,-1519.9113408007815,129.2756327250487
2873,185,C54,1.0,-1529.5039978320315,148.53407122855762
2874,186,C54,0.0,-1529.5043877490236,148.5342276093741
2875,186,C54,1.0,-1539.0970447802736,199.99889397385394
