,element_nos,Cs,xDivL,Fx,Mres
1192,68,C41,0.0,-1708.702013548908,577.6879463290863
1193,68,C41,1.0,-1743.4491994864081,290.05448358220514
1194,69,C41,0.0,-1743.4719297391705,290.05452889666026
1195,69,C41,1.0,-1778.21911567667,113.95377271409923
1196,70,C41,0.0,-1778.1942488023572,113.95372171361656
1197,70,C41,1.0,-1812.9414347398572,27.35023442711412
1198,71,C41,0.0,-1812.954787226348,27.35016573443541
1199,71,C41,1.0,-1847.7019731638482,1.6863117322510333e-05
1200,29,C42,0.0,-659.4383285480739,738.9703906297697
1201,29,C42,1.0,-671.6641889123678,1252.9629636196646
1202,30,C42,0.0,-671.6745683210944,1252.9626733529553
1203,30,C42,1.0,-696.1262899031258,2161.985195015999
1204,31,C42,0.0,-696.1313858790018,2161.984698701853
1205,31,C42,1.0,-720.5831056055642,2175.5838292820126
1206,32,C42,0.0,-720.5776405313252,2175.583392163336
1207,32,C42,1.0,-745.0293602578877,1767.8846401268734
1208,33,C42,0.0,-745.0346114063454,1767.8845237037092
1209,33,C42,1.0,-769.4863348438454,1241.9831550625079
1210,34,C42,0.0,-769.4863263074685,1241.9830057514616
1211,34,C42,1.0,-793.9380497449685,763.3877943316417
1212,35,C42,0.0,-793.9290053274726,763.3878284175642
1213,35,C42,1.0,-818.3807287649728,401.79358143746845
1214,36,C42,0.0,-818.3917418165017,401.79362223338813
1215,36,C42,1.0,-842.8434652540017,168.59962576485358
1216,37,C42,0.0,-842.8419902351567,168.59956860712683
1217,37,C42,1.0,-867.2937136726566,45.00418133165602
1218,38,C42,0.0,-867.2868799024393,45.00412652068663
1219,38,C42,1.0,-891.7386033399392,2.565305606814392e-05
1220,40,C42,0.0,-518.2093126018476,772.5722491393938
1221,40,C42,1.0,-530.4351729661417,1239.6067641630245
1222,41,C42,0.0,-530.4576633688164,1239.606990820923
1223,41,C42,1.0,-554.9093849508475,2064.1004599989374
1224,42,C42,0.0,-554.8998388403892,2064.100745407538
1225,42,C42,1.0,-579.3515585669516,2057.3550012349515
1226,43,C42,0.0,-579.352425602398,2057.3547683135275
1227,43,C42,1.0,-603.8041453289604,1662.8653699679232
1228,44,C42,0.0,-603.8146296127939,1662.8651595864094
1229,44,C42,1.0,-628.266353050294,1163.2798303697816
1230,45,C42,0.0,-628.2499129675864,1163.2797501151658
1231,45,C42,1.0,-652.7016364050867,712.0400633970646
1232,46,C42,0.0,-652.7105955218314,712.0400522643962
1233,46,C42,1.0,-677.1623189593312,372.945415497438
